	Inflected_Word	Lemma
74	অংশভাগ	অংশ
75	অংশভুক্ত	অংশ
76	অংশমতো	অংশ
77	অংশমাত্র	অংশ
78	অংশরূপে	অংশ
79	অংশসমূহকে	অংশ
80	অংশসহ	অংশ
81	অংশিক	অংশ
82	অংশীদার	অংশীদার
83	অংশীদারও	অংশীদার
84	অংশীদারকে	অংশীদার
85	অংশীদারত্ব	অংশীদার
86	অংশীদারত্বই	অংশীদার
87	অংশীদারত্বমূলক	অংশীদার
88	অংশীদারত্বের	অংশীদার
89	অংশীদারদের	অংশীদার
90	অংশীদারভিত্তিক	অংশীদার
91	অংশীদারমূলক	অংশীদার
92	অংশীদাররা	অংশীদার
93	অংশীদারহীনতা	অংশীদার
94	অংশীদারি	অংশীদার
95	অংশীদারিও	অংশীদার
96	অংশীদারিকে	অংশীদার
97	অংশীদারিতে	অংশীদার
98	অংশীদারিতেও	অংশীদার
99	অংশীদারিত্ব	অংশীদার
100	অংশীদারিত্বমূলক	অংশীদার
101	অংশীদারিত্বে	অংশীদার
102	অংশীদারিত্বের	অংশীদার
103	অংশীদারিবিহীন	অংশীদার
104	অংশীদারিমূলক	অংশীদার
105	অংশীদারিমূলকভাবে	অংশীদার
106	অংশীদারির	অংশীদার
107	অংশীদারী	অংশীদার
108	অংশীদারে	অংশীদার
109	অংশীদারের	অংশীদার
110	অংশে	অংশ
111	অংশের	অংশ
112	অংশেরই	অংশ
113	অকথন	অকথন
114	অকথনীয়	অকথন
115	অকথা	অকথন
116	অকথিত	অকথন
117	অকথ্য	অকথন
118	অকপট	অকপট
119	অকপটতা	অকপট
120	অকপটতার	অকপট
121	অকপটতায়	অকপট
122	অকপটে	অকপট
123	অকপটেই	অকপট
124	অকর্ম	অকর্ম
125	অকর্মক	অকর্ম
126	অকর্মক্ষম	অকর্ম
127	অকর্মণ্য	অকর্ম
128	অকর্মণ্যতা	অকর্ম
129	অকর্মণ্যতার	অকর্ম
130	অকর্মন্য	অকর্ম
131	অকর্মা	অকর্ম
132	অকর্মার	অকর্ম
133	অকল্পনীয়	অকল্পিত
134	অকল্পনীয়ভাবে	অকল্পিত
135	অকল্পিত	অকল্পিত
136	অকল্যাণ	অকল্যাণ
137	অকল্যাণই	অকল্যাণ
138	অকল্যাণকর	অকল্যাণ
139	অকল্যাণকারিণী	অকল্যাণ
140	অকস্মাৎ	অকস্মাৎ
141	অকাজ	অকাজ
142	অকাজই	অকাজ
143	অকাজকেই	অকাজ
144	অকাজটা	অকাজ
145	অকাজে	অকাজ
146	অকাজেই	অকাজ
147	অকাজের	অকাজ
148	অকাট্য	অকাট্য
149	অকারণ	অকারণ
150	অকারণ	কারণ
151	অকারণে	অকারণ
152	অকারণেই	অকারণ
153	অকারণেও	অকারণ
154	অকার্য	অকার্য
155	অকার্যকর	অকার্য
156	অকার্যকরই	অকার্য
157	অকার্যকরতা	অকার্য
158	অকার্যকরতার	অকার্য
159	অকার্যকরীকরণ	অকার্য
160	অকার্যকরের	অকার্য
161	অকার্যকারিতা	অকার্য
162	অকার্যকারিতার	অকার্য
163	অকার্যকারিতায়	অকার্য
164	অকাল	অকাল
165	অকালকুষ্মাণ্ড	অকাল
166	অকালপক্ব	অকাল
167	অকালপক্বতা	অকাল
168	অকালপ্রসব	অকাল
169	অকালপ্রয়াণ	অকাল
170	অকালপ্রয়াণে	অকাল
171	অকালপ্রয়াত	অকাল
172	অকালপ্রয়াতদের	অকাল
173	অকালপ্রয়াতা	অকাল
174	অকালবন্যা	অকাল
175	অকালবন্যার	অকাল
176	অকালবন্যায়	অকাল
177	অকালবর্ষণ	অকাল
178	অকালবার্ধক্য	অকাল
179	অকালবিদায়	অকাল
180	অকালবিদায়ে	অকাল
181	অকালবিদায়ের	অকাল
182	অকালবিবাহ	অকাল
183	অকালবৃদ্ধ	অকাল
184	অকালবৃদ্ধরা	অকাল
185	অকালবৃষ্টি	অকাল
186	অকালবৃষ্টিতে	অকালবৃষ্টি
187	অকালবোধন	অকাল
188	অকালমৃত্যু	অকাল
189	অকালমৃত্যুও	অকাল
190	অকালমৃত্যুকেই	অকাল
191	অকালমৃত্যুজনিত	অকাল
192	অকালমৃত্যুতে	অকাল
193	অকালমৃত্যুর	অকাল
194	অকালমৃত্যের	অকাল
195	অকালরাত্রির	অকালরাত্র
196	অকালী	অকাল
197	অকালীন	অকাল
198	অকালে	অকাল
199	অকালেই	অকাল
200	অকালের	অকাল
201	অকিঞ্চিৎকর	কিঞ্চিৎ
202	অকুণ্ঠ	অকুণ্ঠ
203	অকুণ্ঠচিত্তে	অকুণ্ঠ
204	অকুণ্ঠভাবে	অকুণ্ঠ
205	অকুণ্ঠিত	অকুণ্ঠ
206	অকুণ্ঠে	অকুণ্ঠ
207	অকুল	অকুল
208	অকুলান	অকুল
209	অকুলার	অকুল
210	অকুলীন	অকুল
211	অকূল	অকূল
212	অকূলপাথার	অকূল
213	অকূলে	অকূল
214	অকৃতকার্য	অকৃতকার্য
215	অকৃতকার্যদের	অকৃতকার্য
216	অকৃতকার্যরা	অকৃতকার্য
217	অকৃতকার্যের	অকৃতকার্য
218	অকৃতজ্ঞ	অকৃতজ্ঞ
219	অকৃতজ্ঞ	কৃতজ্ঞ
220	অকৃতজ্ঞতা	অকৃতজ্ঞ
221	অকৃতজ্ঞতাদুষ্ট	অকৃতজ্ঞ
222	অকৃতজ্ঞতাপূর্ণ	অকৃতজ্ঞ
223	অকৃতজ্ঞতার	অকৃতজ্ঞ
224	অকৃতজ্ঞের	অকৃতজ্ঞ
225	অকৃত্রিম	অকৃত্রিম
226	অকৃত্রিম	কৃত্রিম
227	অকৃত্রিমতা	অকৃত্রিম
228	অকৃত্রিমতাই	অকৃত্রিম
229	অকৃত্রিমতার	অকৃত্রিম
230	অকৃত্রিমভাবে	অকৃত্রিম
231	অকৃপণ	অকৃপণ
232	অকৃপণতা	অকৃপণ
233	অকৃপণভাবে	অকৃপণ
234	অকৌশল	অকৌশল
235	অকৌশলতা	অকৌশল
236	অক্টোবর	অক্টোবর
237	অক্টোবরে	অক্টোবর
238	অক্টোপাস	অক্টোপাস
239	অক্টোপাসই	অক্টোপাস
240	অক্টোপাসও	অক্টোপাস
241	অক্টোপাসকে	অক্টোপাস
242	অক্টোপাসগুলো	অক্টোপাস
243	অক্টোপাসটা	অক্টোপাস
244	অক্টোপাসটাকে	অক্টোপাস
245	অক্টোপাসটি	অক্টোপাস
246	অক্টোপাসটিকে	অক্টোপাস
247	অক্টোপাসটির	অক্টোপাস
248	অক্টোপাসরা	অক্টোপাস
249	অক্টোপাসে	অক্টোপাস
250	অক্টোপাসের	অক্টোপাস
251	অক্টোবর	অক্টোবর
252	অক্টোবর	অক্টোবর
253	অক্টোবরই	অক্টোবর
254	অক্টোবরও	অক্টোবর
255	অক্টোবরকেই	অক্টোবর
256	অক্টোবরে	অক্টোবর
257	অক্টোবরেই	অক্টোবর
258	অক্টোবরেও	অক্টোবর
259	অক্টোবরের	অক্টোবর
260	অক্লান্ত	অক্লান্ত
261	অক্লান্তকর্মা	অক্লান্ত
262	অক্লান্তভাবে	অক্লান্ত
263	অক্ষ	অক্ষ
264	অক্ষক	অক্ষ
265	অক্ষকে	অক্ষ
266	অক্ষক্রীড়া	অক্ষ
267	অক্ষজ	অক্ষ
268	অক্ষটা	অক্ষ
269	অক্ষত	অক্ষত
270	অক্ষতই	অক্ষত
271	অক্ষতদেহ	অক্ষত
272	অক্ষতদেহে	অক্ষত
273	অক্ষতভাবে	অক্ষত
274	অক্ষতভাবেই	অক্ষত
275	অক্ষতযোনি	অক্ষত
276	অক্ষতশরীর	অক্ষত
277	অক্ষতশরীরে	অক্ষত
278	অক্ষম	অক্ষম
279	অক্ষমই	অক্ষম
280	অক্ষমণি	অক্ষম
281	অক্ষমতা	অক্ষম
282	অক্ষমতাকাল	অক্ষম
283	অক্ষমতাকে	অক্ষম
284	অক্ষমতাজনিত	অক্ষম
285	অক্ষমতাবশত	অক্ষম
286	অক্ষমতার	অক্ষম
287	অক্ষমদের	অক্ষম
288	অক্ষর	অক্ষর
289	অক্ষরও	অক্ষর
290	অক্ষরকে	অক্ষর
291	অক্ষরগুলা	অক্ষর
292	অক্ষরগুলো	অক্ষর
293	অক্ষরগুলোকে	অক্ষর
294	অক্ষরগুলোতে	অক্ষর
295	অক্ষরগুলোর	অক্ষর
296	অক্ষরজীবী	অক্ষর
297	অক্ষরজ্ঞান	অক্ষর
298	অক্ষরজ্ঞানই	অক্ষর
299	অক্ষরজ্ঞানও	অক্ষর
300	অক্ষরজ্ঞানকে	অক্ষর
301	অক্ষরজ্ঞানবঞ্চিত	অক্ষর
302	অক্ষরজ্ঞানশূন্য	অক্ষর
303	অক্ষরজ্ঞানসমৃদ্ধ	অক্ষর
304	অক্ষরজ্ঞানসম্পন্ন	অক্ষর
305	অক্ষরজ্ঞানসহ	অক্ষর
306	অক্ষরজ্ঞানহীন	অক্ষর
307	অক্ষরজ্ঞানে	অক্ষর
308	অক্ষরজ্ঞানেরও	অক্ষর
309	অক্ষরটা	অক্ষর
310	অক্ষরটার	অক্ষর
311	অক্ষরটি	অক্ষর
312	অক্ষরটিকে	অক্ষর
313	অক্ষরটিকেও	অক্ষর
314	অক্ষরটিতে	অক্ষর
315	অক্ষরদান	অক্ষর
316	অক্ষরপরিচয়	অক্ষর
317	অক্ষরবিজ্ঞানের	অক্ষর
318	অক্ষরবিন্যাস	অক্ষর
319	অক্ষরবিশিষ্ট	অক্ষর
320	অক্ষরবৃত্ত	অক্ষর
321	অক্ষরমালা	অক্ষর
322	অক্ষরমূলক	অক্ষর
323	অক্ষরলিপি	অক্ষর
324	অক্ষরলিপিতে	অক্ষর
325	অক্ষরসংস্কৃতি	অক্ষর
326	অক্ষরসমূদ্রেই	অক্ষর
327	অক্ষরানন্দ	অক্ষর
328	অক্ষরি	অক্ষর
329	অক্ষরে	অক্ষর
330	অক্ষরে	অক্ষরে
331	অক্ষরেই	অক্ষর
332	অক্ষরেও	অক্ষর
333	অক্ষরেখা	অক্ষরেখা
334	অক্ষরেখাই	অক্ষরেখা
335	অক্ষরেখাকে	অক্ষরেখা
336	অক্ষরেখাকেই	অক্ষরেখা
337	অক্ষরেখার	অক্ষরেখা
338	অক্ষরেখায়	অক্ষরেখা
339	অক্ষাংশ	অক্ষাংশ
340	অক্ষাংশে	অক্ষাংশ
341	অক্ষাংশেই	অক্ষাংশ
342	অক্ষাংশের	অক্ষাংশ
343	অক্ষাংশেরই	অক্ষাংশ
344	অক্ষি	অক্ষি
345	অক্ষিকোটর	অক্ষি
346	অক্ষিগত	অক্ষি
347	অক্ষিগোলক	অক্ষি
348	অক্ষিগোলকে	অক্ষি
349	অক্ষিতারকা	অক্ষি
350	অক্ষিতারা	অক্ষি
351	অক্ষিপক্ষ্ম	অক্ষি
352	অক্ষিপট	অক্ষি
353	অক্ষয়	অক্ষয়
354	অক্ষয়কীর্তি	অক্ষয়
355	অক্ষয়কে	অক্ষয়
356	অক্ষয়তূণ	অক্ষয়
357	অক্ষয়তৃতীয়া	অক্ষয়
358	অক্ষয়পাড়া	অক্ষয়
359	অক্ষয়বট	অক্ষয়
360	অক্ষয়ের	অক্ষয়
361	অক্ষয়েরই	অক্ষয়
362	অক্সফোর্ড	অক্সফোর্ড
363	অক্সফোর্ডে	অক্সফোর্ড
364	অখণ্ড	অখণ্ড
365	অখণ্ড	খণ্ড
366	অখণ্ডণীয়	অখণ্ড
367	অখণ্ডতা	অখণ্ড
368	অখণ্ডতার	অখণ্ড
369	অখণ্ডনীয়	অখণ্ড
370	অখণ্ডানন্দ	অখণ্ড
371	অখণ্ডানান্দ	অখণ্ড
372	অখণ্ডিত	অখণ্ড
373	অখণ্ডিতপত্রবতী	অখণ্ডপত্র
374	অখণ্ডিতভাবে	অখণ্ড
375	অখন	অখন
376	অখনও	অখন
377	অখনে	অখন
378	অখনের	অখন
379	অখনো	অখন
380	অখন্ড	অখন্ড
381	অখ্যাত	খ্যাত
382	অগণিত	অগণিত
383	অগভীর	অগভীর
384	অগভীরতা	অগভীর
385	অগভীরতাই	অগভীর
386	অগভীরতাকে	অগভীর
387	অগভীরতাকেই	অগভীর
388	অগভীরতার	অগভীর
389	অগভীরতারই	অগভীর
390	অগস্টেই	অগস্ট
391	অগাধ	অগাধ
392	অগোচর	অগোচর
393	অগোচরিত	অগোচর
394	অগোচরে	অগোচর
395	অগোচরে	গোচর
396	অগোচরেই	অগোচর
397	অগোচরের	অগোচর
398	অগোছাল	অগোছাল
399	অগোছালই	অগোছাল
400	অগোছালো	অগোছাল
401	অগোছালোভাবে	অগোছাল
402	অগ্নি	অগ্নি
403	অগ্নিকাণ্ড	অগ্নি
404	অগ্নিকাণ্ডই	অগ্নি
405	অগ্নিকাণ্ডকবলিত	অগ্নি
406	অগ্নিকাণ্ডকে	অগ্নি
407	অগ্নিকাণ্ডগুলোর	অগ্নি
408	অগ্নিকাণ্ডটি	অগ্নি
409	অগ্নিকাণ্ডে	অগ্নিকান্ড
410	অগ্নিকে	অগ্নি
411	অগ্নিতে	অগ্নি
412	অগ্নিতেই	অগ্নি
413	অগ্নিপরীক্ষা	অগ্নিপরীক্ষা
414	অগ্নিপরীক্ষাও	অগ্নিপরীক্ষা
415	অগ্নিপরীক্ষাটা	অগ্নিপরীক্ষা
416	অগ্নিপরীক্ষাটি	অগ্নিপরীক্ষা
417	অগ্নিপরীক্ষার	অগ্নিপরীক্ষা
418	অগ্নিপরীক্ষারই	অগ্নিপরীক্ষা
419	অগ্নিপরীক্ষায়	অগ্নিপরীক্ষা
420	অগ্নিসংযোগ	অগ্নিসংযোগ
421	অগ্নিসংযোগও	অগ্নিসংযোগ
422	অগ্নিসংযোগকারী	অগ্নিসংযোগ
423	অগ্নিসংযোগকারীদের	অগ্নিসংযোগ
424	অগ্নিসংযোগটা	অগ্নিসংযোগ
425	অগ্নিসংযোগসহ	অগ্নিসংযোগ
426	অগ্নিসংযোগে	অগ্নিসংযোগ
427	অগ্নিসংযোগের	অগ্নিসংযোগ
428	অগ্নিসংযোগেরও	অগ্নিসংযোগ
429	অগ্ন্যাশয়	অগ্ন্যাশয়
430	অগ্ন্যাশয়ে	অগ্ন্যাশয়
431	অগ্ন্যাশয়েই	অগ্ন্যাশয়
432	অগ্ন্যাশয়ের	অগ্ন্যাশয়
433	অগ্ন্যাশয়েরই	অগ্ন্যাশয়
434	অগ্ন্যুত্পাত	অগ্ন্যুত্পাত
435	অগ্ন্যুত্পাতকে	অগ্ন্যুত্পাত
436	অগ্ন্যুত্পাতের	অগ্ন্যুত্পাত
437	অগ্ন্যুৎপাত	অগ্ন্যুত্পাত
438	অগ্ন্যুৎপাতজনিত	অগ্ন্যুত্পাত
439	অগ্ন্যুৎপাতে	অগ্ন্যুত্পাত
440	অগ্ন্যুৎপাতেরই	অগ্ন্যুত্পাত
441	অগ্রগতি	অগ্রগতি
442	অগ্রগতিই	অগ্রগতি
443	অগ্রগতিও	অগ্রগতি
444	অগ্রগতিকে	অগ্রগতি
445	অগ্রগতিগুলো	অগ্রগতি
446	অগ্রগতিটা	অগ্রগতি
447	অগ্রগতিতে	অগ্রগতি
448	অগ্রগতিতেও	অগ্রগতি
449	অগ্রগতির	অগ্রগতি
450	অগ্রগমন	অগ্রগমন
451	অগ্রগমনের	অগ্রগমন
452	অগ্রগামিতা	অগ্রগমন
453	অগ্রগামিতাই	অগ্রগমন
454	অগ্রগামিতার	অগ্রগমন
455	অগ্রগামিতায়	অগ্রগমন
456	অগ্রগামিনী	অগ্রগমন
457	অগ্রগামী	অগ্রগমন
458	অগ্রগামীদের	অগ্রগমন
459	অগ্রগামীরা	অগ্রগমন
460	অগ্রজ	অগ্রজ
461	অগ্রজতুল্য	অগ্রজ
462	অগ্রজদের	অগ্রজ
463	অগ্রজপ্রতিম	অগ্রজ
464	অগ্রজিহ্বা	অগ্রজ
465	অগ্রজের	অগ্রজ
466	অগ্রজেরা	অগ্রজ
467	অগ্রভাগ	অগ্রভাগ
468	অগ্রভাগে	অগ্রভাগ
469	অগ্রভাগেই	অগ্রভাগ
470	অগ্রভাগের	অগ্রভাগ
471	অগ্রসর	অগ্রসর
472	অগ্রসরও	অগ্রসর
473	অগ্রসরণের	অগ্রসর
474	অগ্রসরতা	অগ্রসর
475	অগ্রসরে	অগ্রসর
476	অগ্রসরের	অগ্রসর
477	অগ্রহায়ণ	অগ্রহায়ণ
478	অগ্রহায়ণকে	অগ্রহায়ণ
479	অগ্রহায়ণে	অগ্রহায়ণ
480	অগ্রহায়ণের	অগ্রহায়ণ
481	অগ্রাধিকার	অগ্রাধিকার
482	অগ্রাধিকারই	অগ্রাধিকার
483	অগ্রাধিকারকে	অগ্রাধিকার
484	অগ্রাধিকারকেই	অগ্রাধিকার
485	অগ্রাধিকারগুলো	অগ্রাধিকার
486	অগ্রাধিকারগুলোকে	অগ্রাধিকার
487	অগ্রাধিকারগুলোর	অগ্রাধিকার
488	অগ্রাধিকারপ্রাপ্ত	অগ্রাধিকার
489	অগ্রাহ্য	অগ্রাহ্য
490	অগ্রিম	অগ্রিম
491	অগ্রিমও	অগ্রিম
492	অগ্রিমক	অগ্রিম
493	অগ্রিমনামা	অগ্রিম
494	অগ্রিমের	অগ্রিম
495	অঘটন	অঘটন
496	অঘটনই	অঘটন
497	অঘটনও	অঘটন
498	অঘটনকে	অঘটন
499	অঘটনগুলোর	অঘটন
500	অঘটনটা	অঘটন
501	অঘটনটির	অঘটন
502	অঙ্ক	অঙ্ক
503	অঙ্কও	অঙ্ক
504	অঙ্ককে	অঙ্ক
505	অঙ্ককেই	অঙ্ক
506	অঙ্কগুলো	অঙ্ক
507	অঙ্কটা	অঙ্ক
508	অঙ্কটি	অঙ্ক
509	অঙ্কটিকে	অঙ্ক
510	অঙ্কন	অঙ্কন
511	অঙ্কনচিত্র	অঙ্কন
512	অঙ্কনদক্ষতা	অঙ্কন
513	অঙ্কনরীতি	অঙ্কন
514	অঙ্কনীয়	অঙ্কন
515	অঙ্কনে	অঙ্কন
516	অঙ্কনের	অঙ্কন
517	অঙ্কুর	অঙ্কুর
518	অঙ্কুরিত	অঙ্কুর
519	অঙ্কুরে	অঙ্কুর
520	অঙ্কুরেই	অঙ্কুর
521	অঙ্কুরের	অঙ্কুর
522	অঙ্কুরোদগম	অঙ্কুর
523	অঙ্কের	অঙ্ক
524	অঙ্গ	অঙ্গ
525	অঙ্গই	অঙ্গ
526	অঙ্গও	অঙ্গ
527	অঙ্গকে	অঙ্গ
528	অঙ্গগুলির	অঙ্গ
529	অঙ্গগুলো	অঙ্গ
530	অঙ্গটি	অঙ্গ
531	অঙ্গটিকে	অঙ্গ
532	অঙ্গন	অঙ্গন
533	অঙ্গনই	অঙ্গন
534	অঙ্গনকে	অঙ্গন
535	অঙ্গনগুলো	অঙ্গন
536	অঙ্গনজুড়েই	অঙ্গন
537	অঙ্গনটাই	অঙ্গন
538	অঙ্গনটি	অঙ্গন
539	অঙ্গনপার্শ্ব	অঙ্গনপার্শ্ব
540	অঙ্গনসহ	অঙ্গন
541	অঙ্গনা	অঙ্গন
542	অঙ্গনার	অঙ্গন
543	অঙ্গনায়	অঙ্গন
544	অঙ্গনে	অঙ্গন
545	অঙ্গীকার	অঙ্গীকার
546	অঙ্গীকারই	অঙ্গীকার
547	অঙ্গীকারও	অঙ্গীকার
548	অঙ্গীকারকারীর	অঙ্গীকার
549	অঙ্গীকারকৃত	অঙ্গীকার
550	অঙ্গীকারকে	অঙ্গীকার
551	অঙ্গীকারকেও	অঙ্গীকার
552	অঙ্গীকারের	অঙ্গীকার
553	অঙ্গুলি	অঙ্গুলি
554	অচল	চলা
555	অচলা	অচলা
556	অচলাবস্থা	অচলা
557	অচলাবস্থাকে	অচলা
558	অচলাবস্থার	অচলা
559	অচলাবস্থায়	অচলা
560	অচলাবস্থায়ই	অচলা
561	অচিন	অচিন
562	অচিনা	অচিন
563	অচিনার	অচিন
564	অচির	অচির
565	অচিরকাল	অচির
566	অচিরকালে	অচির
567	অচিরকালের	অচির
568	অচিরস্থায়ী	অচির
569	অচিরে	অচির
570	অচিরেই	অচির
571	অচেতন	অচেতন
572	অচেতনও	অচেতন
573	অচেতনলোক	অচেতন
574	অচেতনাগতভাবে	অচেতন
575	অচেনা	অচেনা
576	অচেনাই	অচেনা
577	অচেনাকে	অচেনা
578	অচেনাদের	অচেনা
579	অচেনার	অচেনা
580	অচেনারে	অচেনা
581	অছি	অছি
582	অজ-জননীকে	অজজননী
583	অজস্র	অজস্র
584	অজানা	অজানা
585	অজান্তে	অজান্ত
586	অজ্ঞ	অজ্ঞ
587	অজ্ঞই	অজ্ঞ
588	অজ্ঞকে	অজ্ঞ
589	অজ্ঞর	অজ্ঞ
590	অজ্ঞাত	অজ্ঞাত
591	অজ্ঞাতসারে	অজ্ঞাতসার
592	অজ্ঞান	অজ্ঞান
593	অজ্ঞান	জ্ঞান
594	অজ্ঞানই	অজ্ঞান
595	অজ্ঞানকে	অজ্ঞান
596	অজ্ঞানে	অজ্ঞান
597	অজ্ঞানের	অজ্ঞান
598	অজ্ঞের	অজ্ঞ
599	অঞ্চল	অঞ্চল
600	অঞ্চলকে	অঞ্চল
601	অঞ্চলগুলিকে	অঞ্চল
602	অঞ্চলটিকে	অঞ্চল
603	অঞ্চলটিতে	অঞ্চল
604	অঞ্চলে	অঞ্চল
605	অঞ্চলের	অঞ্চল
606	অটনিতে	অটনি
607	অটল	অটল
608	অটুট	অটুট
609	অটুটই	অটুট
610	অটুটতা	অটুট
611	অটুটভাবে	অটুট
612	অটোরিকশা	অটোরিকশা
613	অটোরিকশাই	অটোরিকশা
614	অটোরিকশাও	অটোরিকশা
615	অটোরিকশাওয়ালাকে	অটোরিকশা
616	অটোরিকশাকে	অটোরিকশা
617	অটোরিকশাচালাক	অটোরিকশা
618	অটোরিকশাটি	অটোরিকশা
619	অট্টালিকা	অট্টালিকা
620	অট্টালিকাও	অট্টালিকা
621	অট্টালিকাগুলোর	অট্টালিকা
622	অট্টালিকাটাই	অট্টালিকা
623	অট্টালিকাটি	অট্টালিকা
624	অট্টালিকাটির	অট্টালিকা
625	অট্টালিকার	অট্টালিকা
626	অট্টালিকায়	অট্টালিকা
627	অণু	অণু
628	অণুকথা	অণু
629	অণুকথায়	অণু
630	অণুকল্প	অণু
631	অণুকাব্য	অণু
632	অণুকাব্যটি	অণু
633	অণুকে	অণু
634	অণুক্রম	অণু
635	অণুগল্প	অণু
636	অণুগুলো	অণু
637	অণ্ডকোষ	অণ্ডকোষ
638	অত	অত
639	অতএব	অতএব
640	অতক্ষণে	অত
641	অতখান	অত
642	অতখানই	অত
643	অতখানি	অত
644	অতগুলো	অত
645	অতগুলোর	অত
646	অতটা	অত
647	অতল	অতল
648	অতলও	অতল
649	অতলস্পর্শ	অতল
650	অতলেই	অতল
651	অতলের	অতল
652	অতি	অতি
653	অতিআগ্রহী	অতি
654	অতিউৎসাহী	অতি
655	অতিকথন	অতি
656	অতিকথনও	অতি
657	অতিকাল্পনিক	অতি
658	অতিকায়	অতি
659	অতিক্রম	অতিক্রম
660	অতিক্রমের	অতিক্রম
661	অতিক্রান্ত	অতিক্রম
662	অতিথি	অতিথি
663	অতিথিকে	অতিথি
664	অতিথিদের	অতিথি
665	অতিদূরবর্তী	অতিদূর
666	অতিপুরাতন	অতিপুরাতন
667	অতিবাহিত	অতিবাহন
668	অতিমাত্রায়	অতিমাত্রা
669	অতিরিক্ত	অতিরিক্ত
670	অতিশয়	অতিশয়
671	অতীত	অতীত
672	অতীতই	অতীত
673	অতীতও	অতীত
674	অতীতকাল	অতীত
675	অতীতকালে	অতীত
676	অতীতকালের	অতীত
677	অতীতকে	অতীত
678	অতীতকেই	অতীত
679	অতীতে	অতীত
680	অতীতের	অতীত
681	অতুল	অতুল
682	অতুলচন্দ্র	অতুল
683	অতুলণীয়	অতুল
684	অতুলন	অতুল
685	অতুলনীয়	অতুল
686	অতুলনীয়ভাবে	অতুল
687	অতৃপ্ত	অতৃপ্ত
688	অতৃপ্তই	অতৃপ্ত
689	অতৃপ্ততায়	অতৃপ্ত
690	অতৃপ্তি	অতৃপ্ত
691	অতৃপ্তিই	অতৃপ্ত
692	অতৃপ্তিও	অতৃপ্ত
693	অতৃপ্তিকে	অতৃপ্ত
694	অত্মকর্মসংস্থানে	আত্ম
695	অত্মগোপন	আত্ম
696	অত্মঘাতী	আত্ম
697	অত্মনিয়ন্ত্রিত	আত্ম
698	অত্মরক্ষার্থে	আত্ম
699	অত্মসাতের	আত্ম
700	অত্যন্ত	অত্যন্ত
701	অত্যাচার	অত্যাচার
702	অত্যাচারই	অত্যাচার
703	অত্যাচারও	অত্যাচার
704	অত্যাচারকারী	অত্যাচার
705	অত্যাচারকারীদের	অত্যাচার
706	অত্যাচারি	অত্যাচার
707	অত্যাচারিণী	অত্যাচার
708	অত্যাচারিত	অত্যাচার
709	অত্যাচারিতকে	অত্যাচার
710	অত্যাচারী	অত্যাচার
711	অত্যাচারে	অত্যাচার
712	অত্যাচারের	অত্যাচার
713	অত্যাবশকীয়	অত্যাবশ্যক
714	অত্যাবশ্যক	অত্যাবশ্যক
715	অত্যাবশ্যকীয়	অত্যাবশ্যক
